# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/data/input.gtf" "-o" "/data/output/featureCounts.tsv" "-T" "1" "-s" "0" "-p" "/data/input.bam"
Geneid	Chr	Start	End	Strand	Length	/data/input.bam
ENSG00000158691	6;6;6;6;6;6;6;6;6;6;6	28346732;28346996;28349968;28358373;28358373;28360679;28360679;28365781;28365781;28367434;28367434	28350386;28348648;28350386;28359519;28359519;28360823;28360823;28366250;28366250;28367508;28367511	-;-;-;-;-;-;-;-;-;-;-	5495	9
ENSG00000251877	6	28378047	28378233	+	187	0
ENSG00000187987	6;6;6;6;6;6;6;6;6;6;6	28399707;28400432;28402229;28402668;28403237;28403237;28403636;28403636;28411176;28411176;28411176	28399828;28402855;28402855;28402855;28403384;28403384;28404120;28404120;28411279;28411244;28411257	-;-;-;-;-;-;-;-;-;-;-	3283	0
ENSG00000231162	6;6	28414750;28415069	28415584;28415584	+;+	835	0
ENSG00000219262	6	28423425	28423918	-	494	0
ENSG00000198704	6;6;6;6;6;6;6;6;6;6;6;6;6;6	28471073;28471963;28473480;28474089;28474089;28474110;28478528;28478528;28478528;28483434;28483434;28494804;28495475;28495905	28472275;28472275;28473579;28474206;28474206;28474206;28478681;28478681;28478681;28483564;28483570;28494865;28495630;28495992	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2018	0
ENSG00000224586	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	28493702;28493789;28496103;28496108;28497169;28497228;28497228;28497228;28497783;28499555;28499555;28500098;28500098;28500098;28500098;28501738;28501738;28501738;28501738	28493877;28493877;28496385;28496385;28497381;28497381;28497381;28497381;28497902;28499672;28499672;28500197;28500197;28500197;28500197;28501756;28502729;28501822;28502729	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2002	0
ENSG00000232040	6;6;6;6;6;6;6;6;6;6;6;6;6	28539407;28542421;28543794;28547049;28547049;28552983;28554075;28554075;28555239;28555733;28555784;28557137;28583802	28541604;28543913;28543913;28547196;28547196;28553098;28554301;28555112;28555373;28555896;28555896;28557480;28583989	-;-;-;-;-;-;-;-;-;-;-;-;-	5824	0
ENSG00000246350	6;6	28555155;28557006	28555509;28559524	+;+	2874	0
ENSG00000271440	6	28601158	28601371	-	214	0
ENSG00000272278	6	28615974	28616042	-	69	0
ENSG00000235570	6;6	28616063;28616673	28616428;28616843	-;-	537	0
ENSG00000237425	6	28699794	28700681	+	888	0
ENSG00000221191	6	28743693	28743800	+	108	0
ENSG00000235559	6	28751410	28751781	-	372	0
ENSG00000265764	6	28763749	28763812	-	64	0
ENSG00000225173	6;6	28805646;28806527	28806097;28806783	-;-	709	0
ENSG00000225595	6;6;6;6;6;6	28827402;28828927;28831061;28831061;28831067;28832095	28829792;28829792;28831454;28831127;28831313;28832407	-;-;-;-;-;-	3098	0
ENSG00000213916	6	28829193	28829824	+	632	0
ENSG00000233366	6	28856609	28857683	-	1075	0
ENSG00000224157	6;6	28864307;28864888	28864507;28865099	+;+	413	0
ENSG00000204713	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	28870779;28870779;28870779;28870779;28872251;28872331;28875013;28875013;28875013;28875013;28875269;28876585;28876585;28876585;28876750;28876750;28876750;28876750;28879084;28879473;28879473;28879473;28882553;28887789;28887789;28887789;28887789;28887789;28889669;28889669;28889669;28889669;28890990;28890990;28890990	28872442;28872050;28876617;28872442;28872442;28872442;28875361;28875039;28875039;28875039;28875340;28876617;28876617;28876617;28876865;28876865;28876865;28876766;28879495;28879495;28879495;28879495;28883067;28888019;28887960;28888019;28888019;28888019;28889753;28889764;28889764;28889764;28891766;28891765;28891690	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7986	28
ENSG00000212240	6	28883422	28883521	+	100	0
ENSG00000204709	6;6	28911654;28911999	28911803;28912314	+;+	466	0
ENSG00000228666	6	28936907	28938237	-	1331	0
ENSG00000263426	6	28945252	28945547	+	296	0
ENSG00000227214	6;6;6	28953980;28954090;28954454	28954009;28954283;28955261	+;+;+	1032	0
ENSG00000244349	6;6	28954577;28956077	28954656;28956313	+;+	317	0
ENSG00000197935	6;6;6;6;6;6;6;6;6;6;6;6;6	28962562;28962562;28966511;28966511;28967264;28967264;28967733;28971290;28971290;28971675;28971723;28972785;28972785	28964363;28964363;28966615;28966615;28967824;28967390;28967824;28971371;28971371;28971842;28971991;28973093;28973037	-;-;-;-;-;-;-;-;-;-;-;-;-	3176	0
ENSG00000223677	6	28994457	28995384	-	928	0
ENSG00000204704	6	29011990	29013017	-	1028	0
ENSG00000236909	6	29039601	29040376	-	776	0
ENSG00000228364	6	29044350	29044945	-	596	0
ENSG00000204703	6	29053985	29055090	-	1106	0
ENSG00000204702	6	29068386	29069658	+	1273	0
ENSG00000204701	6	29079668	29080603	+	936	0
ENSG00000227206	6;6	29091987;29096434	29092123;29096685	+;+	389	0
ENSG00000203492	6	29105657	29106593	-	937	0
ENSG00000204700	6	29141311	29142351	+	1041	0
ENSG00000224233	6	29149287	29150222	+	936	0
ENSG00000230598	6	29183013	29183956	+	944	0
ENSG00000232505	6;6;6;6;6	29191750;29191777;29231609;29234708;29257903	29191828;29191828;29231838;29234862;29258217	+;+;+;+;+	779	0
ENSG00000213911	6	29197004	29197934	-	931	0
ENSG00000204697	6;6	29230480;29231269	29230770;29231856	-;-	879	0
ENSG00000242524	6	29236239	29237198	-	960	0
ENSG00000197171	6	29258488	29259430	+	943	0
ENSG00000204695	6	29274403	29275519	+	1117	0
ENSG00000230056	6	29297403	29298838	-	1436	0
ENSG00000243729	6;6;6;6;6	29323007;29323007;29390384;29390802;29399641	29324054;29324054;29390459;29390839;29399744	-;-;-;-;-	1266	0
ENSG00000112462	6	29341200	29343068	-	1869	0
ENSG00000168787	6	29364416	29365448	+	1033	0
ENSG00000251608	6	29385057	29386003	+	947	0
ENSG00000204694	6;6;6;6;6;6;6;6	29393281;29393281;29393281;29395991;29396690;29398078;29399641;29424764	29395509;29395509;29395509;29396243;29396737;29398202;29399764;29424848	-;-;-;-;-;-;-;-	2864	0
ENSG00000206474	6	29407083	29408731	+	1649	0
ENSG00000204688	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29424958;29424965;29424980;29426230;29426231;29426231;29426231;29427548;29427798;29428181;29428181;29428653;29429217;29429217;29429252;29429272;29429272;29429272;29429276;29429768;29429781;29431526	29424984;29424984;29424984;29426346;29426346;29426346;29426346;29427961;29427961;29428231;29428231;29428863;29432097;29430510;29430510;29429527;29429527;29432105;29432105;29430497;29430497;29432105	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3709	0
ENSG00000225797	6;6	29432373;29437562	29432732;29437583	-;-	382	0
ENSG00000230164	6	29442802	29443848	-	1047	0
ENSG00000204687	6	29454474	29455738	-	1265	0
ENSG00000213900	6	29457048	29457453	-	406	0
ENSG00000229274	6;6;6;6	29465286;29473098;29474946;29478045	29465316;29473154;29475445;29478333	+;+;+;+	877	0
ENSG00000224582	6;6;6;6;6;6;6	29497197;29497253;29497726;29497726;29498829;29498829;29499857	29497361;29497361;29497820;29497820;29501345;29498945;29499934	+;+;+;+;+;+;+	2777	0
ENSG00000229281	6	29505481	29506564	-	1084	0
ENSG00000237988	6;6	29520996;29521002	29521943;29521928	+;+	948	0
ENSG00000213886	6;6	29523292;29527452	29524127;29527702	-;-	1087	0
ENSG00000204681	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29523406;29570005;29570006;29570007;29570012;29570015;29570015;29571091;29571318;29572271;29572271;29572271;29572271;29572271;29572271;29572271;29572271;29572637;29572637;29572637;29572637;29572637;29572637;29572637;29572637;29572690;29572728;29573187;29573346;29573346;29573346;29573346;29573346;29573346;29573346;29573346;29573346;29574168;29574168;29574168;29574168;29574168;29574168;29574168;29574168;29574168;29574674;29574674;29574674;29574674;29574674;29574674;29574674;29574674;29574879;29574879;29574879;29574879;29574879;29574879;29574879;29574879;29574932;29576231;29576378;29576378;29576378;29576378;29576378;29576378;29576378;29576378;29576378;29577006;29577006;29577006;29577006;29577006;29577006;29578701;29578701;29578701;29578701;29578701;29578701;29578701;29578701;29578701;29578701;29580328;29580328;29580328;29580328;29580328;29580328;29580328;29580328;29580328;29581020;29581020;29581020;29581020;29581020;29581020;29581020;29581020;29581238;29588878;29588878;29588878;29588878;29588878;29588878;29588878;29588878;29588878;29589529;29589529;29589529;29589529;29589529;29589529;29589529;29589529;29589529;29589581;29589591;29589881;29589881;29589881;29589881;29589881;29589881;29589881;29589881;29589881;29589881;29589881;29591082;29591082;29591082;29591082;29591082;29591082;29591082;29591082;29591082;29591082;29591667;29591667;29591667;29591667;29591667;29591667;29591667;29591667;29591667;29591667;29595263;29595263;29595263;29595263;29595263;29595263;29595263;29595263;29595263;29596864;29596864;29596864;29596864;29596864;29596864;29596864;29597676;29598235;29598235;29598235;29598235;29598240;29598299;29598324;29599173;29599173;29599173;29599173;29599173;29599173;29599173;29599173;29599173;29599173;29599173;29600078;29600078;29600078;29600078;29600078;29600078;29600078;29600078;29600078;29600078;29600078;29600459;29600627;29600627;29600627;29600627;29600627;29600627;29601615	29524127;29571493;29571493;29571493;29571493;29571493;29571493;29571493;29571493;29572414;29572414;29572414;29572414;29572414;29572414;29572414;29572414;29572765;29572926;29572765;29572765;29572765;29572765;29572765;29572765;29572765;29572765;29573473;29573473;29573886;29573473;29573473;29573473;29573473;29573473;29573473;29573473;29574366;29574261;29574261;29574261;29574261;29574261;29574261;29574261;29574261;29574781;29574781;29574781;29574781;29574781;29574781;29574781;29574781;29574995;29574995;29574995;29574995;29574995;29574995;29574995;29574995;29574995;29576510;29576510;29576510;29576510;29576510;29576510;29576510;29576510;29576510;29576510;29577156;29577156;29577156;29577156;29577156;29577156;29578778;29578934;29578778;29578778;29578778;29578778;29578778;29578778;29578778;29578778;29580376;29580391;29580391;29580391;29580391;29580391;29580391;29580391;29580391;29581262;29581262;29581262;29581262;29581262;29581262;29581262;29581262;29581262;29589069;29589069;29589069;29589069;29589069;29589069;29589069;29589069;29589069;29589594;29589594;29589594;29589594;29589594;29589594;29589594;29589594;29589594;29589594;29589594;29589982;29590346;29589982;29589982;29589982;29589982;29589982;29589982;29589982;29589982;29589982;29591252;29591252;29591252;29591252;29591252;29591252;29591252;29591252;29591252;29591252;29591801;29592038;29591801;29591801;29591801;29591801;29591801;29591801;29591801;29591801;29595423;29595423;29595423;29595423;29595829;29595423;29595423;29595423;29595815;29597024;29596884;29596884;29596884;29596884;29596884;29597024;29598420;29598420;29598420;29598420;29598420;29598420;29598420;29598420;29599376;29599376;29599376;29599376;29599376;29599376;29599376;29599376;29599376;29599376;29599376;29600162;29600162;29600162;29600236;29600286;29600162;29600162;29600162;29600162;29600162;29600162;29600559;29600844;29600962;29600711;29600912;29600962;29600908;29601753	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8470	6
ENSG00000232173	6	29541686	29542613	+	928	0
ENSG00000227609	6	29545236	29545525	+	290	0
ENSG00000201330	6	29550026	29550109	+	84	0
ENSG00000231301	6	29550285	29550802	+	518	0
ENSG00000204657	6	29555683	29556745	+	1063	0
ENSG00000235238	6	29603837	29604120	-	284	0
ENSG00000204655	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29624758;29624758;29624758;29624779;29624780;29624869;29624907;29624987;29624987;29624987;29624987;29624987;29624987;29624987;29624987;29624987;29624993;29624993;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627096;29627101;29631747;29632407;29632407;29632407;29632407;29632427;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29633929;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635420;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29635681;29637894;29637951;29637951;29637951;29638058;29638058;29638058;29638058;29638058;29638058;29638058;29638058;29638058;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638478;29638949;29638949;29638949;29638949;29638949;29638949;29638949;29638949;29638949;29639199;29639199;29639199;29639199;29639199;29639199	29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29625074;29627443;29627443;29627443;29627443;29627443;29627443;29627443;29627443;29627443;29627443;29627701;29627443;29627443;29627443;29627443;29627443;29627443;29631772;29632544;29632544;29632544;29632544;29632512;29634042;29634042;29634042;29634042;29634042;29634042;29634042;29634042;29634042;29634042;29634042;29634037;29634042;29634042;29634042;29634042;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635440;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29635701;29638174;29637998;29637998;29637998;29638174;29638174;29638174;29638174;29638174;29638174;29638174;29638174;29638174;29638718;29638498;29638498;29638498;29638498;29638498;29638498;29638498;29638498;29638498;29638498;29640149;29638498;29638498;29638498;29638498;29640149;29640149;29638962;29638962;29638962;29638962;29639888;29640147;29640149;29639495;29639495;29639495;29639495;29639495;29640147	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3196	0
ENSG00000204644	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29640169;29640169;29640260;29643163;29643163;29643163;29643710;29643710;29643710;29644658;29644658;29644658;29644751;29644751;29648839	29641535;29641535;29641535;29643264;29643264;29643264;29643836;29643836;29643836;29644690;29644690;29644931;29645143;29644780;29648887	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2131	0
ENSG00000233916	6	29675902	29676324	-	423	0
ENSG00000204642	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29690552;29691056;29691083;29691117;29691169;29691185;29691204;29691211;29691219;29691241;29691281;29691435;29691435;29691435;29691435;29691435;29691435;29691547;29691717;29691816;29691934;29691950;29691950;29691950;29691950;29691950;29691950;29691950;29691967;29691967;29692024;29692194;29692808;29692808;29692808;29692808;29692808;29692808;29692808;29692808;29692808;29692831;29692897;29693224;29693224;29693224;29693224;29693224;29693224;29693224;29693224;29693224;29693229;29693231;29693311;29693770;29693788;29693788;29693788;29693788;29693788;29693788;29693788;29693788;29693788;29694180;29694180;29694180;29694180;29694180;29694180;29694660;29694660;29694660;29695734;29704192;29705899;29705899;29706153	29690777;29691304;29691304;29691304;29691704;29691304;29691231;29691304;29691304;29691304;29691704;29691704;29691704;29691704;29691704;29691704;29691704;29691704;29692225;29691859;29692225;29692225;29692225;29692225;29692192;29692008;29692225;29692225;29692129;29692225;29692225;29692225;29693083;29693083;29693076;29693083;29692864;29693083;29693083;29693083;29693083;29693083;29693083;29693340;29693340;29693340;29693340;29693340;29693340;29693340;29693340;29693340;29693340;29693340;29693340;29693820;29693820;29693820;29694303;29693820;29693820;29693820;29693820;29693820;29693820;29694305;29694303;29694303;29694303;29694300;29694303;29695073;29694781;29695073;29697128;29704347;29705965;29706234;29706305	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4685	79
ENSG00000225864	6	29690758	29691748	-	991	0
ENSG00000214922	6;6;6;6;6;6;6;6;6;6;6;6;6;6	29694378;29696142;29702805;29705536;29705743;29705743;29706112;29706112;29706328;29706328;29713250;29714925;29716677;29716677	29694916;29696272;29704597;29705978;29705978;29706213;29706221;29706232;29706663;29706663;29713504;29715202;29716770;29716826	-;-;-;-;-;-;-;-;-;-;-;-;-;-	4179	0
ENSG00000239257	6	29694446	29694916	-	471	0
ENSG00000273340	6;6;6;6;6;6	29709508;29711786;29712044;29712727;29713250;29716677	29709632;29711929;29712321;29713011;29713504;29716746	-;-;-;-;-;-	1157	1
ENSG00000227758	6	29716066	29716290	+	225	0
ENSG00000199290	6	29718148	29718249	+	102	0
ENSG00000235821	6	29718506	29718925	-	420	0
ENSG00000272236	6	29719742	29719984	-	243	0
ENSG00000270896	6	29731035	29731169	-	135	0
ENSG00000181126	6;6;6;6;6;6;6;6;6;6;6;6;6	29758731;29759484;29759683;29760000;29760002;29760011;29760214;29760214;29760214;29760214;29760722;29761128;29764970	29758763;29759551;29760082;29760082;29760082;29760082;29760483;29760483;29760483;29760878;29760913;29765588;29765588	+;+;+;+;+;+;+;+;+;+;+;+;+	5662	0
ENSG00000176998	6;6;6	29758816;29759530;29760219	29760216;29760527;29760850	-;-;-	2035	0
ENSG00000261548	6;6;6;6;6	29768192;29769039;29769439;29769968;29770155	29768449;29769314;29769566;29770004;29770202	+;+;+;+;+	747	0
ENSG00000213880	6	29770972	29771768	-	797	0
ENSG00000237042	6	29780342	29780473	-	132	0
ENSG00000204632	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29794744;29794756;29795510;29795598;29795613;29795622;29795622;29795622;29795622;29795824;29795824;29795824;29795824;29795824;29795824;29795824;29796320;29796320;29796320;29796320;29797195;29797195;29797195;29797195;29797195;29797195;29797593;29797593;29797593;29797593;29797593;29797593;29798155;29798155;29798155;29798155;29798155;29798155;29798155;29798330;29798545;29798545;29798545;29798545;29798545;29798545;29798545	29794821;29794821;29795694;29795694;29795694;29795694;29795694;29795694;29795694;29796093;29796093;29796093;29796093;29796093;29796093;29796093;29796595;29796595;29796595;29796595;29797470;29797470;29797709;29797470;29797470;29797470;29797709;29797709;29797709;29797709;29797709;29797709;29798187;29798187;29798187;29798187;29798187;29798187;29798187;29798377;29798902;29798902;29798902;29798902;29798902;29798899;29798902	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1763	2
ENSG00000229142	6	29795162	29796141	-	980	0
ENSG00000233265	6	29820140	29820268	-	129	0
ENSG00000230521	6	29855071	29856045	-	975	0
ENSG00000206341	6;6;6;6;6;6;6;6;6;6	29855350;29855529;29855732;29855732;29856244;29856244;29857105;29857484;29858041;29858216	29855607;29855607;29856001;29856001;29856519;29857081;29857381;29857600;29858073;29858259	+;+;+;+;+;+;+;+;+;+	1837	9
ENSG00000231130	6;6;6;6	29864431;29864828;29865339;29865525	29864702;29864929;29865375;29865563	+;+;+;+	450	0
ENSG00000233677	6;6	29874320;29874630	29874454;29874686	+;+	192	0
ENSG00000235963	6;6	29875560;29876256	29875720;29876422	-;-	328	0
ENSG00000227262	6	29893760	29894750	-	991	2
ENSG00000230795	6;6;6;6;6;6	29894236;29894437;29894955;29895841;29896234;29896963	29894307;29894697;29895229;29896105;29896350;29897009	+;+;+;+;+;+	1037	0
ENSG00000228078	6	29901878	29902063	+	186	0
ENSG00000206503	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29909037;29909743;29910022;29910181;29910309;29910325;29910326;29910329;29910331;29910331;29910534;29910534;29910534;29910534;29910534;29910534;29910534;29910534;29911045;29911045;29911045;29911045;29911062;29911899;29911899;29911899;29911899;29911899;29911899;29911899;29911899;29912277;29912277;29912277;29912277;29912277;29912277;29912277;29912836;29912836;29912836;29912836;29912836;29912840;29913011;29913011;29913011;29913011;29913011;29913011;29913011;29913228;29913228;29913228;29913228;29913228;29913228	29909096;29909873;29910403;29910403;29910403;29910403;29910403;29910403;29910403;29910403;29911320;29911320;29911320;29910803;29910631;29910803;29910803;29910803;29911320;29911320;29911320;29911320;29911320;29912174;29912174;29912174;29912174;29912174;29912174;29912174;29912174;29912393;29912411;29912393;29912868;29912393;29912411;29912393;29912868;29912868;29912868;29912868;29912868;29912868;29913058;29913058;29913058;29913058;29913058;29913058;29913058;29913661;29913661;29913661;29913660;29913661;29913661	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2710	848
ENSG00000227766	6	29909852	29910844	-	993	0
ENSG00000235290	6;6;6;6;6	29924373;29925216;29925617;29926116;29926302	29924633;29925489;29925769;29926152;29926347	+;+;+;+;+	771	0
ENSG00000229390	6;6;6	29938578;29939465;29939986	29938853;29939745;29940241	-;-;-	813	0
ENSG00000204625	6;6;6;6;6	29942889;29945244;29945431;29945431;29945995	29943294;29945280;29945494;29945494;29946183	+;+;+;+;+	696	0
ENSG00000238024	6;6	29960986;29961248	29961108;29961382	+;+	258	0
ENSG00000224312	6;6	29962214;29962922	29962378;29963091	-;-	335	0
ENSG00000204623	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29968788;29968788;29968788;29968788;29970944;29975000;29975301;29976409;29976670;29977503;29979876;29987547;29989444;29989444;29989444;30002685;30002685;30002685;30002685;30002712;30003207;30003693;30003693;30003693;30003693;30022378;30024530;30024868;30025892;30025892;30025892;30025892;30025892;30025892;30025892;30025892;30025892;30026145;30026145;30028518;30028518;30028518;30028518;30028518;30028739;30028856;30028856	29970509;29970509;29970509;29970509;29971145;29975173;29975419;29976451;29976948;29977608;29989538;29987701;29989538;29989538;29989538;30002887;30002792;30002887;30002887;30002887;30003760;30003760;30003760;30003760;30003760;30025494;30025494;30025494;30025967;30025967;30025967;30025967;30025967;30025967;30025967;30025967;30025967;30028756;30026524;30028966;30029417;30028772;30028705;30028920;30028921;30028956;30028961	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	19531	4
ENSG00000237669	6	29973898	29974893	-	996	0
ENSG00000204622	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	29974360;29974364;29974373;29974383;29974577;29974577;29974577;29975095;29975966;29975966;29975966;29975966;29976362;29976362;29976815;29976815;29976815;29976922;29977097;29977097;29977097;29977312;29977312;29977312;29977312	29974446;29974446;29974446;29974446;29974846;29974846;29974846;29975370;29976239;29976239;29976239;29976239;29976478;29976478;29976954;29976954;29976954;29976954;29977144;29977144;29977144;29977316;29977733;29977733;29977733	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1634	0
ENSG00000232757	6;6	29999490;30000233	29999925;30000780	+;+	984	2
ENSG00000066379	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	30026676;30029031;30029034;30029036;30029040;30029107;30029292;30029292;30029292;30029292;30029694;30029694;30029694;30029694;30030001;30030001;30030001;30030001;30030001;30032450;30032450;30032450;30032450;30032450;30032450	30030110;30029446;30029166;30029175;30029190;30029175;30029446;30029446;30029446;30029446;30029794;30029794;30029794;30029794;30030110;30030110;30030110;30030110;30030110;30032686;30032686;30032686;30032686;30032686;30032686	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3672	3
ENSG00000204619	6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6	30034486;30034865;30034982;30035320;30035353;30035983;30036056;30036056;30036056;30036367;30036367;30036367;30036367;30036367;30036881;30036881;30036881;30036881;30036881;30036881	30034786;30035256;30035256;30035441;30035402;30036475;30036130;30036130;30036130;30036475;30036475;30036475;30036475;30036475;30038110;30038110;30038110;30038110;30038110;30038110	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2538	19
ENSG00000204618	6;6;6;6;6;6;6;6;6	30038043;30038043;30039176;30040934;30040934;30041233;30041233;30043000;30043000	30038977;30039468;30039468;30041025;30041025;30041255;30041255;30043664;30043626	-;-;-;-;-;-;-;-;-	2206	0
ENSG00000252901	6	30056598	30056730	-	133	0
